,cod_com,micro_name,rev_2019,rev_2018,incr_2019,incr_2018,rev_2017,dest_name,lat,lng
0,49004,Luoghi e punti d'interesse ,72,104.0,-0.10322112142745998,16.130494534096822,5.0,Capoliveri,42.76034,10.31019
1,23034,Chiese e cattedrali,87,80.0,0.40869015509103157,12.177303487766787,5.0,Ferrara di Monte Baldo,45.67651,10.85317
2,47012,Musei per bambini ,72,135.0,-0.30914812317374696,11.353722019781364,9.0,Pescia,43.90612,10.689232
4,53014,Cascate ,361,428.0,0.09257094422142531,6.499848261654502,47.0,Manciano,42.66463,11.50496
7,28040,Giardini ,48,57.0,0.09081875288355734,5.706306239309883,7.0,Galzignano Terme,45.294518,11.72501
8,52010,Chiese e cattedrali ,185,310.0,-0.22697017814804343,5.546416796807218,39.0,Chiusdino,43.154526,11.08597
9,23043,Parchi a tema ,273,384.0,-0.07908905091031693,5.454189463395977,49.0,Lazise,45.474392,10.743908
12,99002,Acquari ,233,324.0,-0.06846940219608244,4.559174908901613,48.0,Cattolica,43.963257,12.735363
13,24113,Passeggiate in siti storici ,33,98.0,-0.5638116338915877,4.380732257504771,15.0,Valli del Pasubio,45.74216,11.25935
15,52030,Siti storici ,41,55.0,-0.034377490345123496,4.0329978599109255,9.0,San Quirico d'Orcia,43.05759000000001,11.60616
20,34015,Giardini,99,104.0,0.23307095803724254,2.893294212294733,22.0,Fontanellato,44.88043,10.1739
25,39007,Riserve naturali,37,61.0,-0.21429755811768347,2.5884621105079195,14.0,Cervia,44.239628,12.368792
26,23089,Passeggiate in siti storici,212,353.0,-0.22205773076930424,2.3805146302192415,86.0,Valeggio sul Mincio,45.35392,10.73517
27,46024,Luoghi e punti d'interesse,44,69.0,-0.1739814516207845,2.3427718406467215,17.0,Pietrasanta,43.95915,10.228372
29,47011,Passeggiate in siti storici,81,105.0,-0.0007321067334553621,2.2028168199433162,27.0,Montecatini-Terme,43.88107700000001,10.777558
31,53003,Musei d'arte ,144,204.0,-0.08563722184760614,2.1700116880948404,53.0,Capalbio,42.45372,11.419845
32,48006,Centri benessere/fitness e palestre ,191,292.0,-0.15270093017670594,2.1642866927861033,76.0,Campi Bisenzio,43.82507,11.132659
34,23036,Corsi e bacini d'acqua ,55,69.0,0.032523185474019556,1.9909011205786458,19.0,Garda,45.57568,10.708532
36,25016,Corsi e bacini d'acqua ,49,81.0,-0.21639486193318513,1.9004390829051898,23.0,Cortina d'Ampezzo,46.53643,12.138519
42,51034,Musei specializzati ,47,70.0,-0.13026683363837788,1.745271559951414,21.0,Sansepolcro,43.570526,12.141378
49,37031,Castelli ,101,130.0,0.006385185953628358,1.5491807342405988,42.0,Grizzana Morandi,44.2575,11.15249
50,52037,Luoghi e punti d'interesse ,44,61.0,-0.06565115019400203,1.5119234773555434,20.0,Montalcino,43.05473,11.4917
52,24009,Monumenti e statue ,38,66.0,-0.2541939966080222,1.4707444039562727,22.0,Asiago,45.87501,11.51079
53,33012,Quartieri ,76,116.0,-0.151324203036715,1.449626930418185,39.0,Castell'Arquato,44.85296,9.87193
57,39004,Luoghi e punti d'interesse ,86,146.0,-0.23698722508059378,1.312363352420614,52.0,Brisighella,44.22342,11.77591
58,36019,Musei specializzati,124,168.0,-0.04391034903509616,1.3060281103591875,60.0,Maranello,44.52726,10.87079
61,37011,Arene e stadi,36,63.0,-0.2598015605433003,1.2558970644818142,23.0,Casalecchio di Reno,44.48036,11.27847
62,33044,Castelli,61,73.0,0.08241347139729727,1.2267202652939249,27.0,Vernasca,44.81664,9.90025
65,33045,Siti storici ,132,182.0,-0.060517365304958104,1.204291576078635,68.0,Vigolzone,44.93497,9.67082
67,52026,Spa ,130,131.0,0.28545912195724576,1.1577834461218113,50.0,Rapolano Terme,43.285755,11.606499
