;cod_com;weighted average recommendation score;Denominazione in italiano;tfidf_clusters;geo_clusters;lat;lng
0;48043;0.20077434509180683;Sesto Fiorentino;Centri Storici;6.0;43.8307;11.20259
1;34022;0.07935555824343787;Monchio delle Corti;Parchi;7.0;44.41059;10.12266
3;33019;0.07920792079207921;Farini;Chiese;7.0;44.69659;9.60124
4;24106;0.06761659143348994;Tonezza del Cimone;Sci e Trekking;9.0;45.8575;11.3458
5;48005;0.06110785821425179;Calenzano;Centri Storici;11.0;43.86488;11.16854
8;51042;0.05383022774327122;Laterina Pergine Valdarno;Centri Storici;12.0;43.508;11.72069
9;25017;0.04672897196261682;Danta di Cadore;Sci e Trekking;9.0;46.56417;12.51944
10;33005;0.04416120998388951;Bobbio;Centri Storici;7.0;44.76908;9.385831
11;24111;0.042857142857142864;Valdagno;Centri Storici;7.0;45.64874;11.30105
13;99011;0.04237288135593221;Morciano di Romagna;Divertimento;8.0;43.91391;12.64544
